82,time,kilovolt,current in mA,current out mA,Pressure Millitorr,Neutron Count
82,1631681486354292,25.187431584694426,1.4023737067729234,1.4039458509068936,190.45724566868762,0.0
82,1631681486448712,25.191880632773973,1.4028815584629775,1.4038441579323262,190.5241265049242,0.0
82,1631681486684077,25.190609476179816,1.4027292029559613,1.4020645308773965,190.34582977663314,0.0
82,1631681486792033,25.17535559704993,1.400900936871767,1.404047543881461,190.74723229192,0.475
82,1631681486887265,25.20332104212139,1.4037449063360692,1.4042509298305959,190.23447906194147,0.575
82,1631681486991021,25.198871994041838,1.4036433359980582,1.4008950616698712,191.06001937778714,0.0
82,1631681487105668,25.20332104212139,1.4041511876881123,1.404556008754298,190.1009441847473,0.0
82,1631681487207406,25.185524849803187,1.4031862694770099,1.4031323071103543,191.03766044333517,0.0
82,1631681487313832,25.176626753644086,1.4027292029559613,1.4035899254959077,190.27901152897522,0.0
82,1631681487414584,25.19760083744768,1.4040496173501014,1.4032848465722054,190.45724566868762,0.7
82,1631681487517082,25.178533488535322,1.4026276326179505,1.4022679168265313,190.0119730121557,0.0
82,1631681487619721,25.198236415744756,1.404252758026123,1.4041492368560284,190.14544539226625,0.0
82,1631681487721935,25.19378736766521,1.4031862694770099,1.4039966973941773,190.1009441847473,0.0
82,1631681487821648,25.20459219871555,1.403592550829053,1.4023696098010987,189.65650453043446,0.0
82,1631681487923561,25.180440223426558,1.40450668387115,1.4024204562883824,190.1009441847473,0.0
82,1631681488026766,25.186796006397344,1.40384647667408,1.4035899254959077,189.9230434799129,0.06
82,1631681717814868,25.198871994041838,1.4024752771109343,1.4039966973941773,190.83654774218613,0.0
82,1631681718513000,25.18425369320903,1.4041004025191068,1.4032340000849217,190.1676999023983,0.0
82,1631681719218959,25.18234695831779,1.4039480470120906,1.4037933114450425,189.65650453043446,0.735
82,1631681719919689,25.181075801723633,1.4033894101530313,1.4025729957502335,190.43495727425662,0.885
82,1631681721124513,25.19251621107105,1.4023229216039181,1.4034373860340565,190.68027313750983,0.0
82,1631681721827197,25.214761451468803,1.4029323436319827,1.4026238422375172,190.03421190075957,0.0
82,1631681722530113,25.196329680853523,1.4029323436319827,1.403691618470475,190.25674399252102,0.0
82,1631681723233764,25.20713451190386,1.4034401953220368,1.4041492368560284,190.03421190075957,0.0
82,1631681723940356,25.168364235782064,1.4031354843080044,1.4037933114450425,190.3012816716087,0.0
82,1631681724643329,25.178533488535322,1.4037449063360692,1.4026238422375172,190.32355442072605,0.0
82,1631681725345661,25.191245054476894,1.4036941211670637,1.4036407719831914,190.34582977663314,0.0
82,1631682139586221,25.19315178936813,1.4043035431951285,1.4048102411907166,190.99295042383477,0.0
82,1631682139701506,25.20459219871555,1.404608254209161,1.4030814606230706,190.0786974867505,0.55
82,1631682139889661,25.215397029765878,1.4023737067729234,1.4033865395467728,190.0119730121557,0.0
82,1631682140012445,25.191245054476894,1.4051668910682202,1.403030614135787,190.85888313852726,0.26
82,1631682140115978,25.201414307230152,1.404912965223193,1.4030814606230706,190.70259024356355,0.0
82,1631682140222652,25.20332104212139,1.4027292029559613,1.4031323071103543,190.81421495966066,0.0
82,1631682140322490,25.1880671629915,1.4037956915050744,1.4037933114450425,190.81421495966066,0.0
82,1631682140426557,25.16899981407914,1.4022213512659072,1.403691618470475,190.63564676012157,0.0
82,1631682140524225,25.205227777012624,1.4036433359980582,1.4041492368560284,190.63564676012157,0.0
82,1631682140627955,25.188702741288584,1.4039988321810961,1.4026238422375172,190.1676999023983,0.58
82,1631682140730723,25.181711380020715,1.4021197809278965,1.4029797676485032,189.9230434799129,0.0
82,1631682140839897,25.190609476179816,1.403338624984026,1.4043017763178796,190.3012816716087,0.335
82,1631682140938929,25.167093079187907,1.4022721364349127,1.4015560660045594,190.74723229192,0.075
82,1631682141042884,25.18997389788274,1.4030339139699937,1.4035899254959077,190.70259024356355,0.0
82,1631682141145626,25.212854716577564,1.4035417656600475,1.4028780746739358,190.0786974867505,0.225
82,1631682141244637,25.18234695831779,1.4043543283641338,1.4033865395467728,190.68027313750983,0.0
82,1631682141348471,25.18933831958566,1.4032878398150206,1.402674688724801,189.6787018152181,0.0
82,1631682141467005,25.195058524259366,1.403338624984026,1.4031323071103543,190.0786974867505,0.0
82,1631682141571019,25.18425369320903,1.4041511876881123,1.402674688724801,190.39038831003538,0.0
82,1631682141671864,25.185524849803187,1.4033894101530313,1.403183153597638,190.68027313750983,0.0
82,1631682141777606,25.20459219871555,1.4034401953220368,1.4031323071103543,190.5241265049242,0.415
82,1631682141881756,25.18933831958566,1.4026784177869558,1.4032340000849217,189.58992826078614,0.0
82,1631682141984907,25.164550765999593,1.4043543283641338,1.403539079008624,190.4126714881412,0.43
82,1631682142083326,25.194422945962287,1.4027799881249665,1.4037424649577588,189.98973672607394,0.0
82,1631682142185187,25.18616042810027,1.4030339139699937,1.4022679168265313,190.43495727425662,0.0
82,1631682142289969,25.196329680853523,1.4041004025191068,1.4032340000849217,190.68027313750983,0.94
82,1631682142390160,25.187431584694426,1.4032370546460151,1.402827228186652,190.47953667173906,0.0
82,1631682142495997,25.18234695831779,1.403338624984026,1.4022170703392476,190.79188479064527,1.0
82,1631682142596613,25.184889271506105,1.4021197809278965,1.402318763313815,190.12319348648444,0.0
82,1631682142699851,25.190609476179816,1.4031862694770099,1.403030614135787,190.47953667173906,0.0
82,1631682143444735,25.17535559704993,1.403084699138999,1.4034882325213403,190.43495727425662,0.0
82,1631682144154369,25.18933831958566,1.403084699138999,1.4027255352120847,190.14544539226625,0.0
