76,time,kilovolt,current in mA,current out mA,Pressure Millitorr,Neutron Count
76,1631610932688371,25.17472001875285,1.4023737067729234,1.4017086054664105,189.98973672607394,0.0
76,1631610932929287,25.09463715332095,1.4051161058992148,1.4029289211612195,189.9230434799129,0.0
76,1631610933178610,25.11878912860993,1.4041004025191068,1.4042000833433121,190.83654774218613,0.0
76,1631610933431464,25.118153550312854,1.4041004025191068,1.4037933114450425,189.94527196025666,0.0
76,1631610933679129,25.095908309915103,1.4023229216039181,1.4038441579323262,190.25674399252102,0.0
76,1631610933934633,25.113704502233304,1.403084699138999,1.4029289211612195,190.1009441847473,0.0
76,1631610934184443,25.100357357994653,1.4038972618430854,1.403539079008624,190.12319348648444,0.0
76,1631610934447434,25.11624681542162,1.402576847448945,1.4034373860340565,190.81421495966066,0.0
76,1631610934686215,25.099721779697575,1.402830773293972,1.4017594519536942,190.39038831003538,0.0
76,1631610934936053,25.113704502233304,1.4030339139699937,1.4031323071103543,190.1009441847473,0.0
76,1631610935186428,25.077476539299827,1.403338624984026,1.4033356930594891,190.9259050135029,0.0
76,1631610935435245,25.086374635458924,1.4028815584629775,1.4040983903687447,189.30170104807877,0.0
76,1631610935688737,25.11179776734207,1.403592550829053,1.4027255352120847,190.5241265049242,0.0
76,1631610935938639,25.095908309915103,1.403084699138999,1.403691618470475,190.14544539226625,0.0
76,1631610936189503,25.091459261835553,1.4043543283641338,1.4035899254959077,190.83654774218613,0.0
76,1631610936441042,25.07429864781443,1.4031354843080044,1.4044543157797307,189.32385680687293,0.0
76,1631610936691107,25.09273041842971,1.4031862694770099,1.4035899254959077,190.43495727425662,0.0
76,1631610936941997,25.10607756266836,1.40384647667408,1.4037424649577588,190.56872677625543,0.0
76,1631610937193665,25.102899671182964,1.402576847448945,1.4021662238519639,190.45724566868762,0.0
76,1631610937444748,25.10417082777712,1.4045574690401554,1.403539079008624,190.03421190075957,0.0
76,1631610937693720,25.095272731618024,1.4032370546460151,1.4014035265427083,190.59103082698957,0.0
76,1631610937947273,25.117517972015772,1.4043035431951285,1.4019119914155453,190.59103082698957,0.0
76,1631610938197741,25.09717946650926,1.4039988321810961,1.4031323071103543,190.14544539226625,0.0
76,1631610938448756,25.100357357994653,1.4036433359980582,1.403183153597638,190.34582977663314,0.0
76,1631610938699777,25.080654430785216,1.4036433359980582,1.404403469292447,190.3012816716087,0.0
76,1631610938951201,25.089552526944313,1.4031354843080044,1.4022170703392476,190.7695572348334,0.0
76,1631610939206344,25.08764579205308,1.4026276326179505,1.4018611449282616,190.4126714881412,0.0
76,1631610939451980,25.12069586350117,1.4024752771109343,1.403539079008624,190.1676999023983,0.0
76,1631610939698819,25.087010213756,1.4022721364349127,1.4019119914155453,190.25674399252102,0.0
76,1631610939955606,25.090188105241396,1.4022213512659072,1.4034373860340565,190.74723229192,0.0
76,1631610940203691,25.093365996726792,1.403338624984026,1.4034373860340565,190.65795864313094,0.0
76,1631610940455111,25.109255454153757,1.4022721364349127,1.4029289211612195,190.5241265049242,0.0
76,1631610940706802,25.109255454153757,1.4031354843080044,1.4022679168265313,190.54642533566906,0.0
76,1631610940957264,25.10226409288589,1.4033894101530313,1.4050136271398515,189.47901974214432,0.0
76,1631610941211586,25.121331441798244,1.4027799881249665,1.4020645308773965,189.98973672607394,0.0
76,1631610941459490,25.103535249480046,1.4029323436319827,1.4035899254959077,190.25674399252102,0.0
76,1631610941707155,25.091459261835553,1.4035417656600475,1.4034373860340565,190.99295042383477,0.0
76,1631610941961650,25.11116218904499,1.4032370546460151,1.4015560660045594,190.0119730121557,0.0
76,1631610942210887,25.099721779697575,1.4025260622799396,1.4033865395467728,190.27901152897522,0.0
76,1631610942464055,25.10417082777712,1.402576847448945,1.4033865395467728,190.5241265049242,0.0
76,1631610942714602,25.09717946650926,1.4023737067729234,1.4032848465722054,190.34582977663314,0.0
76,1631610942970352,25.109891032450832,1.4048621800541878,1.4029797676485032,190.12319348648444,0.0
76,1631610943216228,25.09781504480634,1.4026276326179505,1.4023696098010987,190.4126714881412,0.0
76,1631610943468117,25.107348719262518,1.4035417656600475,1.4043017763178796,190.43495727425662,0.0
76,1631610943714748,25.084467900567688,1.4031354843080044,1.403030614135787,190.39038831003538,0.0
76,1631610943967907,25.108619875856675,1.4015611440688371,1.4042509298305959,190.23447906194147,0.0
76,1631610944218266,25.10417082777712,1.4030339139699937,1.4038441579323262,190.03421190075957,0.0
76,1631610944474168,25.113068923936225,1.404760609716177,1.4038441579323262,190.1676999023983,0.0
76,1631610944720662,25.118153550312854,1.4027799881249665,1.403691618470475,189.98973672607394,0.0
76,1631610944970356,25.11116218904499,1.4025260622799396,1.403691618470475,190.5241265049242,0.0
76,1631610945221062,25.10544198437128,1.4029831288009882,1.4040983903687447,191.26136758405713,0.0
76,1631610945473055,25.10417082777712,1.4026276326179505,1.402674688724801,190.21221673693086,0.0
76,1631610945721087,25.093365996726792,1.4044558987021447,1.4048610876780003,190.34582977663314,0.0
76,1631610945974883,25.10417082777712,1.4025260622799396,1.4031323071103543,189.76751693696312,0.0
76,1631610946225609,25.10544198437128,1.4020689957588912,1.403030614135787,190.32355442072605,0.0
76,1631610946475301,25.125780489877798,1.4050653207302093,1.4029289211612195,190.34582977663314,0.0
76,1631610946725737,25.116882393718697,1.4043035431951285,1.4040983903687447,190.3012816716087,0.0
76,1631610946977112,25.101628514588807,1.4029831288009882,1.4048102411907166,189.56774136479115,0.0
76,1631610947228661,25.081290009082295,1.4028815584629775,1.4037933114450425,190.45724566868762,0.0
